갈래,업체명,권역,시도,업체명,허가현황,자료출처
수집·운반,(주)해암물류,경상권역,경상남도,(주)해암물류,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,KC환경서비스(주)창원사업부,경상권역,경상남도,KC환경서비스(주)창원사업부,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 중간처분업 · 처리방법 소각 · 낙동강유역환경청 / 중간 재활용업 · 처리방법 재활용,14 폐기물처리업체 전국취합
수집·운반,가야이앤애스(가야E`S),경상권역,경상남도,가야이앤애스(가야E`S),수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,경상환경energy,경상권역,경상남도,경상환경energy,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,그린나래,경상권역,경상남도,그린나래,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,김해환경,경상권역,경상남도,김해환경,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,남도환경(주),경상권역,경상남도,남도환경(주),수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,대동산업,경상권역,경상남도,대동산업,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,대양이엔티,경상권역,경상남도,대양이엔티,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,디유환경,경상권역,경상남도,디유환경,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청 / 중간 재활용업 · 처리방법 재활용,14 폐기물처리업체 전국취합
수집·운반,미래환경(김해),경상권역,경상남도,미래환경(김해),수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,보원에코,경상권역,경상남도,보원에코,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,부용환경물류(주),경상권역,경상남도,부용환경물류(주),수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,세종환경,경상권역,경상남도,세종환경,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,시온환경,경상권역,경상남도,시온환경,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,신성환경,경상권역,경상남도,신성환경,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,에이스환경,경상권역,경상남도,에이스환경,수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
수집·운반,오케이환경(주),경상권역,경상남도,오케이환경(주),수집·운반업 · 처리방법 수집·운반 · 낙동강유역환경청,14 폐기물처리업체 전국취합
